基金
代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
161031,富国中证工业,02-14,1.155,0.664,-0.60,1.85,9.90,29.62,56.47,72.07,47.95,27.29,19.47,-30.04,0.12
320022,诺安研究精选,02-14,1.505,2.615,-0.40,1.96,2.45,15.68,33.54,72.00,56.93,56.44,8.04,161.47,0.15
001070,建信信息产业,02-14,1.718,1.718,-1.21,-2.50,5.72,19.47,30.05,71.63,38.44,52.17,14.23,71.80,0.15
161726,招商国证生物,02-14,1.452,0.9866,2.11,2.15,12.51,13.26,32.16,71.19,57.74,56.81,15.64,1.62,0.10
001692,南方国策动力,02-14,1.572,1.602,-0.25,2.34,8.71,14.83,35.05,71.06,63.41,49.15,13.58,61.02,0.15
161631,融通人工智能,02-14,1.4028,1.4028,0.28,4.02,11.49,27.93,47.06,70.41,52.07,---,21.84,40.28,0.12
000513,富国高端制造,02-14,2.297,2.297,-0.22,3.00,2.91,13.10,33.01,69.77,36.40,64.90,6.79,129.70,0.15
001617,天弘中证电子,02-14,1.2563,1.2563,0.79,4.53,7.81,26.11,49.42,69.13,33.58,46.13,17.77,25.63,0.10
000780,鹏华医疗保健,02-14,1.697,1.697,0.71,1.56,9.13,4.24,31.25,69.02,46.42,34.68,12.24,69.70,0.15
000524,上投摩根民生,02-14,2.073,2.512,-0.34,3.24,14.09,24.58,43.96,68.95,34.17,28.60,21.80,159.21,0.15
001975,景顺长城环保,02-14,2.24,2.24,-0.13,0.86,6.06,22.40,41.77,68.80,46.69,83.16,13.71,124.00,0.15
001618,天弘中证电子,02-14,1.2425,1.2425,0.80,4.53,7.80,26.07,49.27,68.80,33.03,45.17,17.76,24.25,0.00
005777,广发科技动力,02-14,1.5448,1.5448,-0.06,1.21,3.75,17.47,40.55,68.65,---,---,11.91,54.48,0.15
005268,鹏华优势企业,02-14,1.3747,1.3747,0.34,2.54,2.38,7.44,27.49,68.10,45.30,---,6.81,37.47,0.15
006081,海富通电子传,02-14,1.7711,1.7711,-0.37,1.57,13.05,33.85,52.85,68.02,---,---,26.94,77.11,0.15
164205,天弘文化新兴,02-14,1.7392,2.0223,0.40,3.31,-3.44,3.67,17.69,67.75,63.92,56.83,-1.10,102.23,0.15
001879,长城创业板指,02-14,1.5747,1.5747,0.33,4.62,13.21,25.70,43.19,67.74,64.03,---,21.50,57.47,0.15
006257,信达澳银先进,02-14,1.6752,1.6752,0.80,4.92,9.98,32.92,56.39,67.55,---,---,19.97,67.52,0.15
000827,广发百发10,02-14,1.35,1.71,0.67,3.53,8.61,22.95,43.31,66.67,42.86,38.75,16.78,72.82,0.06
000826,广发百发10,02-14,1.352,1.712,0.67,3.52,8.59,22.91,43.22,66.50,42.77,38.52,16.75,73.05,0.12
001028,华安物联网主,02-14,0.999,0.999,0.40,3.42,6.16,23.33,42.31,66.50,42.71,34.09,14.04,-0.10,0.15
004997,广发高端制造,02-14,1.3064,1.3064,-1.07,2.88,6.58,29.42,48.24,66.46,29.09,---,15.54,30.63,0.15
161122,易方达生物分,02-14,1.3523,---,1.39,0.60,9.99,10.78,26.01,66.38,46.36,39.74,13.62,-6.77,0.10
006080,海富通电子传,02-14,1.7392,1.7392,-0.37,1.55,12.98,33.78,52.62,66.32,---,---,26.83,73.92,0.00
006928,长城创业板指,02-14,1.561,1.561,0.33,4.61,13.18,25.42,42.56,66.29,---,---,21.35,79.57,0.00
160626,鹏华信息分级,02-14,1.49,1.919,0.34,3.11,6.35,24.51,45.84,65.97,38.32,43.39,16.38,107.97,0.12
161030,富国中证体育,02-14,1.037,0.681,-0.19,-1.89,-0.19,24.84,40.59,65.78,36.54,-11.58,8.79,-31.38,0.12
000592,建信改革红利,02-14,2.755,2.755,-0.25,0.69,3.03,20.04,30.57,65.76,24.60,48.76,12.68,175.50,0.15
000831,工银医疗保健,02-14,2.127,2.127,-0.05,-0.61,8.19,6.78,33.86,65.65,50.42,66.56,13.14,112.70,0.15
163116,申万菱信申万,02-14,1.3347,0.9259,0.57,4.14,6.48,25.03,49.43,65.64,29.13,42.20,16.61,-7.41,0.05
003834,华夏能源革新,02-14,1.499,1.499,-1.51,7.07,8.94,56.96,60.15,65.64,55.34,---,22.37,49.90,0.15
005106,银华农业产业,02-14,1.5065,1.5065,1.35,3.81,2.11,8.81,17.51,65.02,55.81,---,7.24,50.65,0.15
000697,汇添富移动互,02-14,1.556,1.556,0.19,2.44,10.67,23.20,43.15,65.01,20.71,12.27,19.78,55.60,0.15
540008,汇丰晋信低碳,02-14,1.7051,1.8051,-0.47,9.69,8.01,60.75,70.71,64.97,27.02,5.66,26.89,85.94,0.15
162208,泰达宏利首选,02-14,1.3704,2.2784,-0.10,2.92,5.30,13.75,26.78,64.91,29.96,44.06,10.47,187.02,0.15
002168,嘉实智能汽车,02-14,2.209,2.209,-1.52,2.41,8.50,37.55,44.28,64.73,63.15,72.44,19.08,120.90,0.15
001790,国泰智能汽车,02-14,1.29,1.29,-0.62,6.26,7.68,44.62,66.02,64.12,38.26,---,19.22,29.00,0.15
000985,嘉实逆向策略,02-14,1.577,1.577,0.45,4.58,6.20,26.46,41.06,63.93,31.75,40.05,17.08,57.70,0.15
001541,汇添富民营新,02-14,1.204,1.204,0.25,1.09,4.42,22.36,38.23,63.59,25.81,36.82,10.46,20.40,0.15
006502,财通集成电路,02-14,1.637,1.637,1.04,4.79,8.64,24.15,46.42,62.93,---,---,21.35,63.70,0.15
161035,富国中证医药,02-14,1.391,1.391,0.07,0.43,7.41,8.25,27.61,62.88,48.61,49.57,11.82,39.10,0.12
003984,嘉实新能源新,02-14,1.6278,1.6278,-1.44,3.60,10.28,39.98,45.52,62.88,52.73,---,20.07,62.78,0.15
540007,汇丰晋信中小,02-14,1.5907,1.6107,0.48,1.75,6.58,26.75,40.83,62.73,39.51,37.24,14.95,61.98,0.15
501009,汇添富中证生,02-14,1.5174,1.5174,1.04,1.24,11.08,10.86,28.64,62.58,45.57,52.81,14.21,51.74,0.10
003985,嘉实新能源新,02-14,1.6147,1.6147,-1.44,3.60,10.23,39.79,45.13,62.53,52.22,---,20.00,61.47,0.00
501010,汇添富中证生,02-14,1.521,1.521,1.04,1.24,11.05,10.77,28.47,62.47,46.03,53.26,14.16,52.10,0.00
001719,工银国家战略,02-14,1.398,1.398,1.45,5.75,1.01,19.79,30.17,62.18,37.46,49.52,5.67,39.80,0.15
005303,嘉实医药健康,02-14,1.4122,1.4122,-0.30,-1.34,8.50,9.27,28.85,61.65,45.59,---,13.31,41.22,0.15
006503,财通集成电路,02-14,1.6213,1.6213,1.04,4.78,8.56,23.90,45.84,61.60,---,---,21.23,62.13,0.00
161037,富国中证高端,02-14,1.4204,1.4204,0.09,3.57,5.53,21.02,37.58,61.57,33.97,---,13.96,42.04,0.12
002621,中欧消费主题,02-14,1.94,1.94,0.99,4.53,2.70,9.79,22.32,61.26,53.85,97.36,6.36,94.00,0.15
001696,南方智造股票,02-14,1.312,1.357,0.08,2.50,6.58,17.35,39.07,61.21,31.19,---,12.43,36.70,0.15
340006,兴全全球视野,02-14,2.2216,4.9676,0.00,1.80,5.27,17.24,27.71,60.78,39.77,34.51,11.32,737.18,0.15
005112,银华中证全指,02-14,1.5491,1.5491,0.60,2.02,5.39,11.59,31.58,60.76,59.23,---,11.12,54.91,0.12
002697,中欧消费主题,02-14,1.945,1.945,1.04,4.51,2.64,9.70,22.02,60.74,52.79,96.46,6.28,94.50,0.00
005304,嘉实医药健康,02-14,1.3885,1.3885,-0.31,-1.36,8.42,9.08,28.40,60.58,43.38,---,13.20,38.85,0.00
002595,博时工业4.,02-14,1.677,1.677,-0.18,3.65,4.42,24.31,39.75,60.48,41.88,57.61,11.80,67.70,0.15
001404,招商移动互联,02-14,1.051,1.051,0.67,3.04,9.94,21.08,39.76,60.46,27.86,40.13,18.89,5.10,0.15
001171,工银养老产业,02-14,1.125,1.125,-0.35,-0.53,10.51,12.95,35.87,60.26,44.97,72.55,17.19,12.50,0.15
161025,富国中证移动,02-14,1.231,1.547,0.24,2.75,6.67,22.89,41.90,59.95,29.68,23.77,15.70,19.30,0.12
004476,景顺长城沪港,02-14,1.576,1.576,-0.19,2.87,6.13,22.74,39.47,59.84,48.68,---,12.65,57.60,0.15
004640,华夏节能环保,02-14,1.1699,1.1699,-1.04,6.42,8.09,37.34,52.97,59.80,44.52,---,19.00,16.99,0.15
160636,鹏华互联网分,02-14,1.259,0.821,0.16,2.69,6.60,22.83,41.61,59.71,35.52,33.21,15.61,-15.86,0.12
501005,汇添富中证精,02-14,1.1593,1.1593,0.35,-0.61,6.24,8.13,29.20,59.14,33.59,17.09,10.85,15.93,0.08
162412,华宝中证医疗,02-14,1.2483,0.5246,-0.50,0.84,8.87,7.72,30.82,58.87,57.69,37.71,13.26,-47.54,0.12
003145,中融竞争优势,02-14,1.0359,1.0359,-0.10,3.18,2.22,17.12,33.17,58.86,20.73,19.77,10.57,3.59,0.15
519673,银河康乐股票,02-14,2.039,2.039,0.39,3.40,4.67,8.86,26.02,58.80,50.26,59.17,9.10,103.90,0.15
501006,汇添富中证精,02-14,1.1424,1.1424,0.35,-0.62,6.21,8.04,28.98,58.69,32.73,15.87,10.79,14.24,0.00
003053,嘉实文体娱乐,02-14,1.462,1.462,-0.54,1.81,1.67,18.48,36.76,58.57,40.98,47.68,9.60,46.20,0.15
001579,国泰大农业股,02-14,1.721,1.721,1.18,5.32,0.06,6.83,18.53,58.33,56.17,---,3.80,72.10,0.15
000867,华宝品质生活,02-14,1.287,1.337,-0.39,0.23,1.50,14.50,21.99,58.30,25.44,55.62,8.06,33.11,0.15
001473,建信大安全战,02-14,1.838,1.838,0.94,2.64,1.02,12.12,21.33,58.04,36.17,54.97,2.87,83.80,0.15
005035,银华信息科技,02-14,1.0881,1.0881,0.23,3.10,7.41,24.06,41.83,57.88,36.32,---,17.33,8.81,0.15
003054,嘉实文体娱乐,02-14,1.441,1.441,-0.48,1.84,1.62,18.41,36.59,57.83,39.77,46.00,9.58,44.10,0.00
005036,银华信息科技,02-14,1.0908,1.0908,0.22,3.08,7.37,23.95,41.59,57.74,36.83,---,17.28,9.08,0.00
001938,中欧时代先锋,02-14,1.7295,2.2963,0.62,3.76,2.74,14.86,33.63,57.44,67.04,99.08,8.28,177.61,0.15
005259,建信龙头企业,02-14,1.3562,1.3562,-0.03,0.41,4.88,12.80,29.04,57.17,38.76,---,8.39,35.62,0.15
002300,长盛医疗行业,02-14,1.463,1.463,0.90,1.18,8.53,7.02,28.90,57.14,43.71,47.18,12.89,46.30,0.15
000996,中银新动力股,02-14,0.831,0.831,-0.12,1.59,8.20,8.49,27.06,57.09,12.45,-1.66,14.15,-16.90,0.15
002289,华商改革创新,02-14,1.4573,1.4573,-0.93,3.36,5.06,12.06,30.86,56.83,---,---,9.33,45.73,0.15
206012,鹏华价值精选,02-14,1.732,1.732,-0.23,1.58,4.84,15.31,37.57,56.74,30.62,24.87,11.17,73.20,0.15
160420,华安创业板5,02-14,1.3644,0.3595,0.17,2.99,9.39,26.86,42.09,56.63,21.42,-19.24,15.90,-64.05,0.12
519193,万家消费成长,02-14,1.9216,1.9216,-0.03,5.14,3.77,19.38,34.50,56.55,54.15,---,9.36,92.16,0.15
004241,中欧时代先锋,02-14,1.7174,2.0496,0.62,3.74,2.67,14.64,33.10,56.54,64.90,94.83,8.18,105.95,0.00
502056,广发医疗指数,02-14,1.3662,0.964,-0.47,0.75,9.48,7.28,29.60,56.33,56.65,39.96,13.80,-0.76,0.05
001663,中银互联网+,02-14,1.267,1.267,-0.71,2.18,7.37,23.97,34.50,56.23,17.53,42.20,14.66,26.70,0.15
004616,中欧电子信息,02-14,1.6388,1.6388,0.03,0.82,1.66,18.15,32.47,56.11,59.48,---,10.42,63.88,0.15
001616,嘉实环保低碳,02-14,1.932,1.932,-1.88,3.37,11.29,40.31,45.05,55.93,32.69,57.71,21.13,93.20,0.15
001718,工银物流产业,02-14,1.94,1.94,-0.05,4.30,7.60,20.65,37.01,55.82,52.40,70.32,13.19,94.00,0.15
005763,中欧电子信息,02-14,1.7213,1.7213,0.03,0.80,1.60,18.04,31.97,55.62,---,---,10.31,57.21,0.00
000803,工银研究精选,02-14,1.847,1.847,0.44,3.01,4.29,21.51,41.32,55.47,32.50,39.61,11.40,84.70,0.15
001749,招商中国机遇,02-14,1.282,1.282,0.16,3.55,10.52,21.75,35.37,55.39,27.94,---,16.12,28.20,0.15
090012,大成深证成长,02-14,1.143,1.143,0.79,4.00,7.02,23.70,40.59,55.30,14.99,24.65,15.34,14.30,0.12
001104,华安新丝路主,02-14,1.513,1.513,-0.13,2.16,2.51,3.70,21.92,55.18,53.60,56.95,5.29,51.30,0.15
161028,富国中证新能,02-14,1.45,0.978,-0.96,5.69,8.86,48.33,58.31,55.16,17.85,13.81,20.23,-0.80,0.12
001036,嘉实企业变革,02-14,1.285,1.285,0.31,4.05,2.88,20.77,35.41,54.08,29.28,42.78,10.87,28.50,0.15
160422,华安创业板5,02-14,1.4773,1.0418,0.07,2.78,9.01,25.82,40.71,54.05,5.03,---,15.25,4.18,0.12
000942,广发信息技术,02-14,1.2291,1.2291,0.47,3.10,5.02,21.85,38.38,54.02,31.54,20.84,14.18,22.91,0.12
004813,中欧先进制造,02-14,1.3694,1.3694,-0.39,4.34,6.71,30.91,43.26,54.00,45.42,---,13.89,36.94,0.00
217019,招商深证TM,02-14,1.7132,1.7132,-0.12,2.90,5.32,21.03,40.89,53.83,18.64,26.16,13.85,71.32,0.15
000778,鹏华先进制造,02-14,2.052,2.052,0.00,3.06,2.81,12.38,25.12,53.71,38.00,35.89,5.66,105.20,0.15
002974,广发信息技术,02-14,1.2224,1.2224,0.46,3.10,4.99,21.77,38.17,53.66,31.00,20.16,14.15,6.63,0.00
160224,国泰深证TM,02-14,1.231,0.8818,-0.13,2.90,5.25,21.30,41.50,53.64,18.93,30.20,13.82,-9.83,0.00
000586,景顺长城中小,02-14,1.997,1.997,-0.35,3.20,0.15,26.31,42.54,53.62,46.19,18.73,8.24,99.70,0.15
001178,前海开源再融,02-14,1.648,1.868,0.37,0.55,-0.54,16.38,22.80,53.45,47.67,71.71,4.50,99.53,0.15
165522,信诚中证TM,02-14,1.359,1.56,0.30,2.10,4.22,21.16,39.32,53.36,25.88,11.85,12.69,24.41,0.10
001714,工银文体产业,02-14,1.997,2.186,0.05,1.99,2.10,14.31,31.90,53.34,54.39,93.41,8.06,125.71,0.15
001409,工银互联网加,02-14,0.449,0.449,0.22,4.66,6.15,16.93,32.45,53.24,18.47,2.98,13.38,-55.10,0.15
002861,工银智能制造,02-14,1.065,1.065,0.57,4.93,3.30,10.82,29.09,53.24,9.57,---,9.12,6.50,0.15
004409,招商深证TM,02-14,1.6987,1.6987,-0.13,2.89,5.29,20.91,40.61,53.22,17.72,---,13.79,69.87,0.00
005620,中欧品质消费,02-14,1.4863,1.4863,1.03,3.64,2.45,7.62,19.91,52.90,48.59,---,5.55,48.63,0.15
004812,中欧先进制造,02-14,1.3638,1.3638,-0.39,4.35,6.78,30.62,42.94,52.89,44.75,---,14.00,36.38,0.15
160133,南方天元新产,02-14,3.19,3.19,0.06,2.37,5.66,13.56,28.78,52.85,43.37,75.85,10.69,219.00,0.15
001476,中银智能制造,02-14,0.864,0.864,-0.23,5.75,5.75,21.86,36.49,52.38,14.29,16.44,12.21,-13.60,0.15
005621,中欧品质消费,02-14,1.465,1.465,1.03,3.62,2.38,7.46,19.40,52.33,46.47,---,5.44,46.50,0.00
000793,工银高端制造,02-14,1.074,1.074,-0.37,3.87,11.64,26.35,36.47,51.69,11.07,6.65,18.54,7.40,0.15
000854,鹏华养老产业,02-14,2.18,2.18,-0.18,0.93,-4.93,-4.85,9.71,51.60,25.87,75.95,-3.92,118.00,0.15
006248,华夏创业板E,02-14,1.4099,1.4099,0.26,2.49,7.99,21.50,32.76,51.55,---,---,14.93,40.99,0.12
160919,大成产业升级,02-14,1.593,3.579,0.13,5.36,3.64,14.52,31.87,51.43,42.23,39.61,9.11,50.41,0.15
004450,嘉实前沿科技,02-14,1.5784,1.5784,-0.66,2.58,11.89,17.69,35.06,51.39,40.09,---,17.90,57.82,0.15
001605,国富沪港深成,02-14,1.621,1.621,0.25,3.84,3.78,16.53,27.34,51.21,39.98,76.39,8.14,62.10,0.15
006249,华夏创业板E,02-14,1.4037,1.4037,0.26,2.49,7.97,21.42,32.57,51.11,---,---,14.90,40.37,0.00
005968,创金合信工业,02-14,1.3531,1.3531,-0.56,6.89,6.85,34.96,45.68,51.08,---,---,11.68,35.31,0.15
001167,金鹰科技创新,02-14,0.821,0.821,-0.85,2.88,10.35,21.09,31.15,50.92,25.15,24.58,18.81,-17.90,0.15
002656,南方创业板E,02-14,1.0095,1.0095,0.31,2.63,7.67,21.48,33.13,50.72,27.33,11.91,14.73,0.95,0.12
161613,融通创业板指,02-14,0.996,2.256,0.20,2.47,7.44,21.17,33.16,50.68,28.85,5.96,14.61,138.88,0.12
160223,国泰创业板指,02-14,0.9788,0.9788,0.28,2.46,6.87,20.82,32.38,50.68,27.98,9.24,13.84,-2.13,0.12
003190,创金合信消费,02-14,1.5947,1.5177,1.23,3.46,-4.98,-3.04,7.01,50.49,50.56,51.16,-2.03,51.77,0.15
005969,创金合信工业,02-14,1.3379,1.3379,-0.56,6.87,6.78,34.72,45.14,50.17,---,---,11.58,33.79,0.00
004870,融通创业板指,02-14,0.988,0.988,0.20,2.49,7.51,21.08,32.97,50.15,27.98,---,14.48,10.64,0.00
004343,南方创业板E,02-14,1.0183,1.0183,0.31,2.62,7.63,21.36,32.87,50.13,26.32,---,14.66,11.82,0.00
001626,国泰央企改革,02-14,1.529,1.529,0.26,4.94,3.94,16.54,28.06,50.05,16.81,43.16,8.29,52.90,0.15
001628,招商体育文化,02-14,1.02,1.02,-0.58,2.31,0.89,5.48,15.78,50.00,27.34,30.77,5.59,2.00,0.15
001629,天弘中证计算,02-14,0.8776,0.8776,-0.06,2.81,6.48,19.40,35.81,49.94,38.40,29.75,15.31,-12.24,0.10
165523,信诚中证信息,02-14,1.003,---,0.30,2.65,8.61,23.72,37.26,49.78,37.10,17.26,17.45,-35.32,0.10
001230,鹏华医药科技,02-14,0.708,0.708,0.85,2.31,7.76,2.61,22.28,49.68,34.35,37.21,10.28,-29.20,0.15
001630,天弘中证计算,02-14,0.8685,0.8685,-0.07,2.81,6.45,19.33,35.66,49.61,37.81,28.86,15.28,-13.15,0.00
001592,天弘创业板E,02-14,0.8236,0.8236,0.17,2.46,7.63,21.30,32.56,49.45,26.98,8.41,14.64,-17.64,0.10
165524,信诚中证智能,02-14,1.448,---,0.42,2.70,3.95,20.78,39.78,49.41,25.84,6.33,12.34,-38.56,0.10
519606,国泰金鑫股票,02-14,1.789,1.942,-0.50,-0.11,3.53,14.09,28.06,49.33,-4.84,30.01,8.56,78.90,0.15
161022,富国创业板指,02-14,1.33,1.679,0.30,2.54,7.34,20.82,31.85,49.24,26.74,7.30,14.22,34.71,0.12
519935,长信创新驱动,02-14,1.565,1.565,-0.82,1.23,10.29,25.80,34.80,49.19,36.21,58.40,23.72,56.50,0.15
004040,金鹰医疗健康,02-14,1.3436,1.3436,0.16,3.15,7.45,3.16,25.55,49.14,32.91,---,11.38,34.36,0.12
003191,创金合信消费,02-14,1.577,1.489,1.23,3.44,-5.03,-3.23,6.35,49.14,49.20,49.34,-2.11,48.90,0.00
001593,天弘创业板E,02-14,0.8128,0.8128,0.17,2.45,7.60,21.22,32.42,49.14,26.43,7.67,14.61,-18.72,0.00
164401,前海开源健康,02-14,1.084,1.229,0.56,2.26,7.54,6.31,19.89,48.98,30.21,21.29,11.40,26.67,0.12
005390,工银创业板E,02-14,1.1367,1.1367,0.20,2.47,7.41,21.29,32.62,48.98,---,---,14.43,13.67,0.10
399011,中海医疗保健,02-14,1.727,2.719,-0.52,-1.03,1.59,1.41,17.67,48.69,53.39,96.25,4.22,230.22,0.15
001054,工银新金融股,02-14,1.412,1.412,0.50,3.90,4.44,12.42,23.21,48.63,30.02,50.69,7.79,41.20,0.15
160637,鹏华创业板分,02-14,1.36,0.595,0.22,2.41,7.26,20.97,32.28,48.56,24.19,4.28,14.19,-40.40,0.12
000409,鹏华环保产业,02-14,2.221,2.221,-0.76,3.45,6.22,29.58,39.07,48.56,35.68,42.65,15.44,122.10,0.15
000711,嘉实医疗保健,02-14,1.939,1.939,-0.31,-1.02,1.62,2.16,18.38,48.24,38.11,50.54,6.42,93.90,0.15
005391,工银创业板E,02-14,1.1232,1.1232,0.21,2.46,7.38,21.17,32.33,48.22,---,---,14.38,12.32,0.00
050021,博时创业板E,02-14,1.6928,1.6928,0.18,2.43,7.43,20.59,31.84,48.19,14.56,34.65,14.28,69.26,0.08
110026,易方达创业板,02-14,2.1123,2.1123,0.30,2.59,7.00,20.52,32.06,48.09,25.35,7.80,13.91,111.23,0.12
004041,金鹰医疗健康,02-14,1.4088,1.4088,0.16,3.15,7.42,3.09,25.24,48.06,33.23,---,11.32,40.88,0.00
005873,建信创业板E,02-14,1.2741,1.2741,0.20,2.39,7.38,20.89,31.79,48.05,---,---,14.16,27.41,0.15
005874,建信创业板E,02-14,1.2721,1.2721,0.20,2.38,7.35,20.78,31.59,48.02,---,---,14.11,27.21,0.00
