上海市场（0）,,,深圳市场（1）,
600665,天地源  ,,000973,佛塑科技
600666,西南药业,,000975,银泰资源
600667,太极实业,,000976,春晖股份
600668,尖峰集团,,000977,浪潮信息
600671,天目药业,,000978,桂林旅游
600673,东阳光铝,,000979,中弘股份
600674,川投能源,,000980,金马股份
600675,中华企业,,000981,银亿股份
600676,交运股份,,000982,中银绒业
600677,航天通信,,000983,西山煤电
600678,四川金顶,,000985,大庆华科
600679,金山开发,,000987,广州友谊
600680,上海普天,,000988,华工科技
600681,万鸿集团,,000989,九 芝 堂
600682,南京新百,,000990,诚志股份
600683,京投银泰,,000993,闽东电力
600684,珠江实业,,000995,皇台酒业
600685,广船国际,,000996,中国中期
600686,金龙汽车,,000997,新 大 陆
600687,刚泰控股,,000998,隆平高科
600688,上海石化,,000999,华润三九
600689,*ST三毛 ,,001696,宗申动力
600690,青岛海尔,,001896,豫能控股
600691,阳煤化工,,200002,万  科Ｂ
600692,亚通股份,,200011,深物业B 
600693,东百集团,,200012,南  玻Ｂ
600694,大商股份,,200016,深康佳Ｂ
600695,大江股份,,200017,*ST中华B
600696,多伦股份,,200018,中冠B   
600697,欧亚集团,,200019,深深宝Ｂ
600698,ST轻骑  ,,200020,深华发Ｂ
600699,均胜电子,,200022,深赤湾Ｂ
600701,工大高新,,200024,招商局Ｂ
600702,沱牌舍得,,200025,特  力Ｂ
600703,三安光电,,200026,飞亚达Ｂ
600704,物产中大,,200028,一致Ｂ  
600705,中航投资,,200029,深深房Ｂ
600706,曲江文旅,,200030,富奥B   
600707,彩虹股份,,200037,深南电Ｂ
600708,海博股份,,200045,深纺织Ｂ
600710,常林股份,,200053,深基地Ｂ
600711,盛屯矿业,,200054,*ST建摩B
600712,南宁百货,,200055,方大Ｂ  
600713,南京医药,,200056,深国商B 
600714,金瑞矿业,,200058,深赛格B 
600715,松辽汽车,,200152,山  航Ｂ
600716,凤凰股份,,200160,南江B   
600717,天津港  ,,200168,雷伊B   
600718,东软集团,,200413,东旭B   
600719,大连热电,,200418,小天鹅Ｂ
600720,祁连山  ,,200429,粤高速Ｂ
600721,百花村  ,,200468,宁通信Ｂ
600722,金牛化工,,200488,晨  鸣Ｂ
600723,首商股份,,200505,珠江B   
600724,宁波富达,,200512,闽灿坤Ｂ
600725,云维股份,,200521,皖美菱Ｂ
600726,华电能源,,200530,大  冷Ｂ
600727,鲁北化工,,200539,粤电力Ｂ
600728,佳都科技,,200541,粤照明Ｂ
600729,重庆百货,,200550,江  铃Ｂ
600730,中国高科,,200553,沙隆达Ｂ
600731,湖南海利,,200570,苏常柴Ｂ
600732,上海新梅,,200581,苏威孚Ｂ
600733,S前锋   ,,200596,古井贡Ｂ
600734,实达集团,,200613,大东海B 
600735,新华锦  ,,200625,长  安Ｂ
600736,苏州高新,,200706,瓦  轴Ｂ
600737,中粮屯河,,200725,京东方Ｂ
600738,兰州民百,,200726,鲁  泰Ｂ
600739,辽宁成大,,200761,本钢板Ｂ
600740,山西焦化,,200770,*ST武锅B
600741,华域汽车,,200771,杭汽轮Ｂ
600742,一汽富维,,200869,张  裕Ｂ
600743,华远地产,,200986,粤华包Ｂ
600744,华银电力,,200992,中  鲁Ｂ
600745,中茵股份,,184691,基金景宏
600746,江苏索普,,184692,基金裕隆
600747,大连控股,,184693,基金普丰
600748,上实发展,,184698,基金天元
600749,西藏旅游,,184699,基金同盛
600750,江中药业,,184701,基金景福
600751,天津海运,,184721,基金丰和
600753,东方银星,,184722,基金久嘉
600754,锦江股份,,184728,基金鸿阳
600755,厦门国贸,,002001,新 和 成
600756,浪潮软件,,002002,鸿达兴业
600757,长江传媒,,002003,伟星股份
600758,红阳能源,,002004,华邦颖泰
600759,正和股份,,002005,德豪润达
600760,中航黑豹,,002006,精功科技
600761,安徽合力,,002007,华兰生物
600763,通策医疗,,002008,大族激光
600764,中电广通,,002009,天奇股份
600765,中航重机,,002010,传化股份
600766,园城黄金,,002011,盾安环境
600767,运盛实业,,002012,凯恩股份
600768,宁波富邦,,002013,中航机电
600769,祥龙电业,,002014,永新股份
600770,综艺股份,,002015,ST霞客  
600771,广誉远  ,,002016,世荣兆业
600773,西藏城投,,002017,东信和平
600774,汉商集团,,002018,华星化工
600775,南京熊猫,,002019,鑫富药业
600776,东方通信,,002020,京新药业
600777,新潮实业,,002021,中捷股份
600778,友好集团,,002022,科华生物
600779,水井坊  ,,002023,海特高新
600780,通宝能源,,002024,苏宁云商
600781,辅仁药业,,002025,航天电器
600782,新钢股份,,002026,山东威达
600783,鲁信创投,,002027,七喜控股
600784,鲁银投资,,002028,思源电气
600785,新华百货,,002029,七 匹 狼
600787,中储股份,,002030,达安基因
600789,鲁抗医药,,002031,巨轮股份
600790,轻纺城  ,,002032,苏 泊 尔
600791,京能置业,,002033,丽江旅游
600792,云煤能源,,002034,美 欣 达
600793,ST宜纸  ,,002035,华帝股份
600794,保税科技,,002036,宜科科技
600795,国电电力,,002037,久联发展
600796,钱江生化,,002038,双鹭药业
600797,浙大网新,,002039,黔源电力
600798,宁波海运,,002040,南 京 港
600800,天津磁卡,,002041,登海种业
600801,华新水泥,,002042,华孚色纺
600802,福建水泥,,002043,兔 宝 宝
600803,威远生化,,002044,江苏三友
600804,鹏博士  ,,002045,国光电器
600805,悦达投资,,002046,轴研科技
600806,昆明机床,,002047,宝鹰股份
600807,天业股份,,002048,宁波华翔
600808,马钢股份,,002049,同方国芯
600809,山西汾酒,,002050,三花股份
600810,神马股份,,002051,中工国际
600811,东方集团,,002052,同洲电子
600812,华北制药,,002053,云南盐化
600814,杭州解百,,002054,德美化工
600815,厦工股份,,002055,得润电子
600816,安信信托,,002056,横店东磁
600817,ST宏盛  ,,002057,中钢天源
600818,中路股份,,002058,威 尔 泰
600819,耀皮玻璃,,002059,云南旅游
600820,隧道股份,,002060,粤 水 电
600821,津劝业  ,,002061,江山化工
600822,上海物贸,,002062,宏润建设
600823,世茂股份,,002063,远光软件
600824,益民集团,,002064,华峰氨纶
600825,新华传媒,,002065,东华软件
600826,兰生股份,,002066,瑞泰科技
600827,友谊股份,,002067,景兴纸业
600828,成商集团,,002068,黑猫股份
600829,三精制药,,002069,獐 子 岛
600830,香溢融通,,002070,众和股份
600831,广电网络,,002071,江苏宏宝
600832,东方明珠,,002072,德棉股份
600833,第一医药,,002073,软控股份
600834,申通地铁,,002074,东源电器
600835,上海机电,,002075,沙钢股份
600836,界龙实业,,002076,雪 莱 特
600837,海通证券,,002077,大港股份
600838,上海九百,,002078,太阳纸业
600839,四川长虹,,002079,苏州固锝
600841,上柴股份,,002080,中材科技
600843,上工申贝,,002081,金 螳 螂
600844,丹化科技,,002082,栋梁新材
600845,宝信软件,,002083,孚日股份
600846,同济科技,,002084,海鸥卫浴
600847,万里股份,,002085,万丰奥威
600848,自仪股份,,002086,东方海洋
600850,华东电脑,,002087,新野纺织
600851,海欣股份,,002088,鲁阳股份
600853,龙建股份,,002089,新 海 宜
600854,春兰股份,,002090,金智科技
600855,航天长峰,,002091,江苏国泰
600856,长百集团,,002092,中泰化学
600857,工大首创,,002093,国脉科技
600858,银座股份,,002094,青岛金王
600859,王府井  ,,002095,生 意 宝
600860,*ST京城 ,,002096,南岭民爆
600861,北京城乡,,002097,山河智能
600862,南通科技,,002098,浔兴股份
600863,内蒙华电,,002099,海翔药业
600864,哈投股份,,002100,天康生物
600865,百大集团,,002101,广东鸿图
600866,星湖科技,,002102,冠福家用
600867,通化东宝,,002103,广博股份
600868,梅雁吉祥,,002104,恒宝股份
600869,远东电缆,,002105,信隆实业
600870,厦华电子,,002106,莱宝高科
600871,*ST仪化 ,,002107,沃华医药
600872,中炬高新,,002108,沧州明珠
600873,梅花生物,,002109,兴化股份
600874,创业环保,,002110,三钢闽光
600875,东方电气,,002111,威海广泰
600876,洛阳玻璃,,002112,三变科技
600877,中国嘉陵,,002113,天润控股
600879,航天电子,,002114,罗平锌电
600880,博瑞传播,,002115,三维通信
600881,亚泰集团,,002116,中国海诚
600882,华联矿业,,002117,东港股份
600883,博闻科技,,002118,紫鑫药业
600884,杉杉股份,,002119,康强电子
600885,宏发股份,,002120,新海股份
600886,国投电力,,002121,科陆电子
600887,伊利股份,,002122,天马股份
600888,新疆众和,,002123,荣信股份
600889,南京化纤,,002124,天邦股份
600890,中房股份,,002125,湘潭电化
600891,秋林集团,,002126,银轮股份
600892,宝诚股份,,002127,*ST新民 
600893,航空动力,,002128,露天煤业
600894,广日股份,,002129,中环股份
600895,张江高科,,002130,沃尔核材
600896,中海海盛,,002131,利欧股份
600897,厦门空港,,002132,恒星科技
600898,三联商社,,002133,广宇集团
600900,长江电力,,002134,*ST普林 
600960,渤海活塞,,002135,东南网架
600961,株冶集团,,002136,安 纳 达
600962,国投中鲁,,002137,实 益 达
600963,岳阳林纸,,002138,顺络电子
600965,福成五丰,,002139,拓邦股份
600966,博汇纸业,,002140,东华科技
600967,北方创业,,002141,蓉胜超微
600969,郴电国际,,002142,宁波银行
600970,中材国际,,002143,高金食品
600971,恒源煤电,,002144,宏达高科
600973,宝胜股份,,002145,中核钛白
600975,新五丰  ,,002146,荣盛发展
600976,武汉健民,,002147,方圆支承
600978,宜华木业,,002148,北纬通信
600979,广安爱众,,002149,西部材料
600980,北矿磁材,,002150,通润装备
600981,汇鸿股份,,002151,北斗星通
600982,宁波热电,,002152,广电运通
600983,合肥三洋,,002153,石基信息
600984,建设机械,,002154,报 喜 鸟
600985,雷鸣科化,,002155,辰州矿业
600986,科达股份,,002156,通富微电
600987,航民股份,,002157,正邦科技
600988,赤峰黄金,,002158,汉钟精机
600990,四创电子,,002159,三特索道
600992,贵绳股份,,002160,*ST常铝 
600993,马应龙  ,,002161,远 望 谷
600995,文山电力,,002162,斯米克  
600997,开滦股份,,002163,中航三鑫
600998,九州通  ,,002164,宁波东力
600999,招商证券,,002165,红 宝 丽
601000,唐山港  ,,002166,莱茵生物
601001,大同煤业,,002167,东方锆业
601002,晋亿实业,,002168,深圳惠程
601003,柳钢股份,,002169,智光电气
601005,重庆钢铁,,002170,芭田股份
601006,大秦铁路,,002171,精诚铜业
601007,金陵饭店,,002172,澳洋科技
601008,连云港  ,,002173,千足珍珠
601009,南京银行,,002174,梅 花 伞
601010,文峰股份,,002175,广陆数测
601011,宝泰隆  ,,002176,江特电机
601012,隆基股份,,002177,御银股份
601018,宁波港  ,,002178,延华智能
601028,玉龙股份,,002179,中航光电
601038,一拖股份,,002180,万 力 达
601058,赛轮股份,,002181,粤 传 媒
601088,中国神华,,002182,云海金属
601098,中南传媒,,002183,怡 亚 通
601099,太平洋  ,,002184,海得控制
601100,恒立油缸,,002185,华天科技
601101,昊华能源,,002186,全 聚 德
601106,中国一重,,002187,广百股份
601107,四川成渝,,002188,新 嘉 联
601111,中国国航,,002189,利达光电
601113,华鼎股份,,002190,成飞集成
601116,三江购物,,002191,劲嘉股份
601117,中国化学,,002192,路翔股份
601118,海南橡胶,,002193,山东如意
601126,四方股份,,002194,武汉凡谷
601137,博威合金,,002195,海隆软件
601139,深圳燃气,,002196,方正电机
601158,重庆水务,,002197,证通电子
601166,兴业银行,,002198,嘉应制药
601168,西部矿业,,002199,东晶电子
601169,北京银行,,002200,绿大地  
601177,杭齿前进,,002201,九鼎新材
601179,中国西电,,002202,金风科技
601186,中国铁建,,002203,海亮股份
601188,龙江交通,,002204,大连重工
601199,江南水务,,002205,国统股份
601208,东材科技,,002206,海 利 得
601216,内蒙君正,,002207,准油股份
601218,吉鑫科技,,002208,合肥城建
601222,林洋电子,,002209,达 意 隆
601225,陕西煤业,,002210,飞马国际
601231,环旭电子,,002211,宏达新材
601233,桐昆股份,,002212,南洋股份
601238,广汽集团,,002213,特 尔 佳
601258,庞大集团,,002214,大立科技
601268,*ST二重 ,,002215,诺 普 信
601288,农业银行,,002216,三全食品
601299,中国北车,,002217,联合化工
601311,骆驼股份,,002218,拓日新能
601313,江南嘉捷,,002219,恒康医疗
601318,中国平安,,002220,天宝股份
601328,交通银行,,002221,东华能源
601333,广深铁路,,002222,福晶科技
601336,新华保险,,002223,鱼跃医疗
601339,百隆东方,,002224,三 力 士
601369,陕鼓动力,,002225,濮耐股份
601377,兴业证券,,002226,江南化工
601388,怡球资源,,002227,奥 特 迅
601390,中国中铁,,002228,合兴包装
601398,工商银行,,002229,鸿博股份
601515,东风股份,,002230,科大讯飞
601518,吉林高速,,002231,奥维通信
601519,大智慧  ,,002232,启明信息
601555,东吴证券,,002233,塔牌集团
601558,华锐风电,,002234,民和股份
601566,九牧王  ,,002235,安妮股份
601567,三星电气,,002236,大华股份
601588,北辰实业,,002237,恒邦股份
601599,鹿港科技,,002238,天威视讯
601600,中国铝业,,002239,金 飞 达
601601,中国太保,,002240,威华股份
601607,上海医药,,002241,歌尔声学
601608,中信重工,,002242,九阳股份
601616,广电电气,,002243,通产丽星
601618,中国中冶,,002244,滨江集团
601628,中国人寿,,002245,澳洋顺昌
601633,长城汽车,,002246,北化股份
601636,旗滨集团,,002247,帝龙新材
601666,平煤股份,,002248,华东数控
601668,中国建筑,,002249,大洋电机
601669,中国电建,,002250,联化科技
601677,明泰铝业,,002251,步 步 高
601678,滨化股份,,002252,上海莱士
601688,华泰证券,,002253,川大智胜
601699,潞安环能,,002254,泰和新材
601700,风范股份,,002255,海陆重工
601717,郑煤机  ,,002256,彩虹精化
601718,际华集团,,002258,利尔化学
601727,上海电气,,002259,升达林业
601766,中国南车,,002260,伊 立 浦
601777,力帆股份,,002261,拓维信息
601788,光大证券,,002262,恩华药业
601789,宁波建工,,002263,大 东 南
601798,蓝科高新,,002264,新 华 都
601799,星宇股份,,002265,西仪股份
601800,中国交建,,002266,浙富控股
601801,皖新传媒,,002267,陕天然气
601808,中海油服,,002268,卫 士 通
601818,光大银行,,002269,美邦服饰
601857,中国石油,,002270,法因数控
601866,中海集运,,002271,东方雨虹
601872,招商轮船,,002272,川润股份
601877,正泰电器,,002273,水晶光电
601880,大连港  ,,002274,华昌化工
601886,江河创建,,002275,桂林三金
601888,中国国旅,,002276,万马电缆
601890,亚星锚链,,002277,友阿股份
601898,中煤能源,,002278,神开股份
601899,紫金矿业,,002279,久其软件
601901,方正证券,,002280,新世纪  
601908,京运通  ,,002281,光迅科技
601918,国投新集,,002282,博深工具
601919,中国远洋,,002283,天润曲轴
601928,凤凰传媒,,002284,亚太股份
601929,吉视传媒,,002285,世联行  
601933,永辉超市,,002286,保龄宝  
601939,建设银行,,002287,奇正藏药
601958,金钼股份,,002288,超华科技
601965,中国汽研,,002289,宇顺电子
601988,中国银行,,002290,禾盛新材
601989,中国重工,,002291,星期六  
601991,大唐发电,,002292,奥飞动漫
601992,金隅股份,,002293,罗莱家纺
601996,丰林集团,,002294,信立泰  
601998,中信银行,,002295,精艺股份
601999,出版传媒,,002296,辉煌科技
603000,人民网  ,,002297,博云新材
603001,奥康国际,,002298,鑫龙电器
603002,宏昌电子,,002299,圣农发展
603003,龙宇燃油,,002300,太阳电缆
603005,晶方科技,,002301,齐心文具
603008,喜临门  ,,002302,西部建设
603077,和邦股份,,002303,美盈森  
603123,翠微股份,,002304,洋河股份
603128,华贸物流,,002305,南国置业
603167,渤海轮渡,,002306,湘鄂情  
603288,海天味业,,002307,北新路桥
603308,应流股份,,002308,威创股份
603333,明星电缆,,002309,中利科技
603366,日出东方,,002310,东方园林
603399,新华龙  ,,002311,海大集团
603555,贵人鸟  ,,002312,三泰电子
603699,纽威股份,,002313,日海通讯
603766,隆鑫通用,,002314,雅致股份
603993,洛阳钼业,,002315,焦点科技
900901,仪电Ｂ股,,002316,键桥通讯
900902,市北B股 ,,002317,众生药业
900903,大众Ｂ股,,002318,久立特材
900904,神奇B股 ,,002319,乐通股份
900905,老凤祥Ｂ,,002320,海峡股份
900906,*ST中纺B,,002321,华英农业
900907,鼎立Ｂ股,,002322,理工监测
900908,氯碱Ｂ股,,002323,中联电气
900909,双钱Ｂ股,,002324,普利特  
900910,海立Ｂ股,,002325,洪涛股份
900911,金桥Ｂ股,,002326,永太科技
900912,外高Ｂ股,,002327,富安娜  
900913,联华B股 ,,002328,新朋股份
900914,锦投Ｂ股,,002329,皇氏乳业
900915,中路Ｂ股,,002330,得利斯  
900916,金山Ｂ股,,002331,皖通科技
900917,海欣Ｂ股,,002332,仙琚制药
900918,耀皮Ｂ股,,002333,罗普斯金
900919,大江Ｂ股,,002334,英威腾  
900920,上柴Ｂ股,,002335,科华恒盛
900921,丹科Ｂ股,,002336,人人乐  
900922,*ST三毛B,,002337,赛象科技
900923,友谊Ｂ股,,002338,奥普光电
900924,上工Ｂ股,,002339,积成电子
900925,机电Ｂ股,,002340,格林美  
900926,宝信Ｂ  ,,002341,新纶科技
900927,物贸Ｂ股,,002342,巨力索具
900928,自仪Ｂ股,,002343,禾欣股份
900929,锦旅Ｂ股,,002344,海宁皮城
900930,沪普天Ｂ,,002345,潮宏基  
900932,陆家Ｂ股,,002346,柘中建设
900933,华新Ｂ股,,002347,泰尔重工
900934,锦江Ｂ股,,002348,高乐股份
900935,阳晨Ｂ股,,002349,精华制药
900936,鄂资Ｂ股,,002350,北京科锐
900937,华电Ｂ股,,002351,漫步者  
900938,天海B   ,,002352,鼎泰新材
900939,汇丽B   ,,002353,杰瑞股份
900940,大名城B ,,002354,科冕木业
900941,东信Ｂ股,,002355,兴民钢圈
900942,黄山Ｂ股,,002356,浩宁达  
900943,开开Ｂ股,,002357,富临运业
900945,海航Ｂ股,,002358,森源电气
900946,ST轻骑B ,,002359,齐星铁塔
900947,振华Ｂ股,,002360,同德化工
900948,伊泰Ｂ股,,002361,神剑股份
900950,新城Ｂ股,,002362,汉王科技
900951,大化B股 ,,002363,隆基机械
900952,锦港Ｂ股,,002364,中恒电气
900953,凯马Ｂ  ,,002365,永安药业
900955,*ST九龙B,,002366,丹甫股份
900956,东贝Ｂ股,,002367,康力电梯
900957,凌云Ｂ股,,002368,太极股份
500005,基金汉盛,,002369,卓翼科技
500009,基金安顺,,002370,亚太药业
500011,基金金鑫,,002371,七星电子
500015,基金汉兴,,002372,伟星新材
500018,基金兴和,,002373,*ST联信 
500038,基金通乾,,002374,丽鹏股份
500056,基金科瑞,,002375,亚厦股份
500058,基金银丰,,002376,新北洋  
010107,21国债⑺,,002377,国创高新
010213,02国债⒀,,002378,章源钨业
010303,03国债⑶,,002379,鲁丰环保
010501,05国债⑴,,002380,科远股份
010504,05国债⑷,,002381,双箭股份
010512,05国债⑿,,002382,蓝帆股份
010603,06国债⑶,,002383,合众思壮
010609,06国债⑼,,002384,东山精密
010616,06国债⒃,,002385,大北农  
010619,06国债⒆,,002386,天原集团
010703,07国债03,,002387,黑牛食品
010706,07国债06,,002388,新亚制程
010707,07国债07,,002389,南洋科技
010710,07国债10,,002390,信邦制药
010713,07国债13,,002391,长青股份
018001,国开1301,,002392,北京利尔
018002,国开1302,,002393,力生制药
018003,国开1401,,002394,联发股份
019002,10国债02,,002395,双象股份
019003,10国债03,,002396,星网锐捷
019005,10国债05,,002397,梦洁家纺
019007,10国债07,,002398,建研集团
019008,10国债08,,002399,海普瑞  
019009,10国债09,,002400,省广股份
019010,10国债10,,002401,中海科技
019012,10国债12,,002402,和而泰  
019013,10国债13,,002403,爱仕达  
019014,10国债14,,002404,嘉欣丝绸
019015,10国债15,,002405,四维图新
019017,10国债17,,002406,远东传动
019018,10国债18,,002407,多氟多  
019019,10国债19,,002408,齐翔腾达
019020,10国债20,,002409,雅克科技
019022,10国债22,,002410,广联达  
019023,10国债23,,002411,九九久  
019024,10国债24,,002412,汉森制药
019026,10国债26,,002413,常发股份
019027,10国债27,,002414,高德红外
019028,10国债28,,002415,海康威视
019029,10国债29,,002416,爱施德  
019031,10国债31,,002417,三元达  
019032,10国债32,,002418,康盛股份
019033,10国债33,,002419,天虹商场
019034,10国债34,,002420,毅昌股份
019037,10国债37,,002421,达实智能
019038,10国债38,,002422,科伦药业
019039,10国债39,,002423,中原特钢
019040,10国债40,,002424,贵州百灵
019041,10国债41,,002425,凯撒股份
019102,11国债02,,002426,胜利精密
019103,11国债03,,002427,尤夫股份
019104,11国债04,,002428,云南锗业
019105,11国债05,,002429,兆驰股份
019106,11国债06,,002430,杭氧股份
019108,11国债08,,002431,棕榈园林
019110,11国债10,,002432,九安医疗
019112,11国债12,,002433,太安堂  
019113,11国债13,,002434,万里扬  
019114,11国债14,,002435,长江润发
019115,11国债15,,002436,兴森科技
019116,11国债16,,002437,誉衡药业
019117,11国债17,,002438,江苏神通
019119,11国债19,,002439,启明星辰
019121,11国债21,,002440,闰土股份
019122,11国债22,,002441,众业达  
019123,11国债23,,002442,龙星化工
019124,11国债24,,002443,金洲管道
019125,11国债25,,002444,巨星科技
019203,12国债03,,002445,中南重工
019204,12国债04,,002446,盛路通信
019205,12国债05,,002447,壹桥苗业
019206,12国债06,,002448,中原内配
019207,12国债07,,002449,国星光电
019208,12国债08,,002450,康得新  
019209,12国债09,,002451,摩恩电气
019210,12国债10,,002452,长高集团
019212,12国债12,,002453,天马精化
019213,12国债13,,002454,松芝股份
019214,12国债14,,002455,百川股份
019215,12国债15,,002456,欧菲光  
019216,12国债16,,002457,青龙管业
019217,12国债17,,002458,益生股份
019218,12国债18,,002459,*ST天业 
019220,12国债20,,002460,赣锋锂业
019221,12国债21,,002461,珠江啤酒
019301,13国债01,,002462,嘉事堂  
019303,13国债03,,002463,沪电股份
019304,13国债04,,002464,金利科技
019305,13国债05,,002465,海格通信
019306,13国债06,,002466,天齐锂业
019307,13国债07,,002467,二六三  
019308,13国债08,,002468,艾迪西  
019309,13国债09,,002469,三维工程
019310,13国债10,,002470,金正大  
019311,13国债11,,002471,中超电缆
019312,13国债12,,002472,双环传动
019313,13国债13,,002473,圣莱达  
019314,13国债14,,002474,榕基软件
019315,13国债15,,002475,立讯精密
019316,13国债16,,002476,宝莫股份
019317,13国债17,,002477,雏鹰农牧
019318,13国债18,,002478,常宝股份
019319,13国债19,,002479,富春环保
019320,13国债20,,002480,新筑股份
019321,13国债21,,002481,双塔食品
019322,13国债22,,002482,广田股份
019323,13国债23,,002483,润邦股份
019324,13国债24,,002484,江海股份
019325,13国债25,,002485,希努尔  
019401,14国债01,,002486,嘉麟杰  
019402,14国债02,,002487,大金重工
019403,14国债03,,002488,金固股份
019404,14国债04,,002489,浙江永强
019405,14国债05,,002490,山东墨龙
019406,14国债06,,002491,通鼎光电
019714,07国债14,,002492,恒基达鑫
019718,07国债18,,002493,荣盛石化
019801,08国债01,,002494,华斯股份
019802,08国债02,,002495,佳隆股份
019803,08国债03,,002496,辉丰股份
019806,08国债06,,002497,雅化集团
019807,08国债07,,002498,汉缆股份
019810,08国债10,,002499,科林环保
019813,08国债13,,002500,山西证券
019814,08国债14,,002501,利源精制
019818,08国债18,,002502,骅威股份
019820,08国债20,,002503,搜于特  
019822,08国债22,,002504,东光微电
019823,08国债23,,002505,大康牧业
019825,08国债25,,002506,*ST超日 
019901,09国债01,,002507,涪陵榨菜
019902,09国债02,,002508,老板电器
019903,09国债03,,002509,天广消防
019905,09国债05,,002510,天汽模  
019906,09国债06,,002511,中顺洁柔
019907,09国债07,,002512,达华智能
019910,09国债10,,002513,蓝丰生化
019911,09国债11,,002514,宝馨科技
019912,09国债12,,002515,金字火腿
019913,09国债13,,002516,江苏旷达
019916,09国债16,,002517,泰亚股份
019917,09国债17,,002518,科士达  
019918,09国债18,,002519,银河电子
019919,09国债19,,002520,日发精机
019920,09国债20,,002521,齐峰新材
019923,09国债23,,002522,浙江众成
019924,09国债24,,002523,天桥起重
019925,09国债25,,002524,光正集团
019926,09国债26,,002526,山东矿机
019927,09国债27,,002527,新时达  
019930,09国债30,,002528,英飞拓  
019931,09国债31,,002529,海源机械
019932,09国债32,,002530,丰东股份
120102,01三峡债,,002531,天顺风能
120201,02三峡债,,002532,新界泵业
120203,02中移⒂,,002533,金杯电工
120204,02苏交通,,002534,杭锅股份
120301,03沪轨道,,002535,林州重机
120303,03三峡债,,002536,西泵股份
120306,03中电投,,002537,海立美达
120485,04国电⑴,,002538,司尔特  
120486,04国电⑵,,002539,新都化工
120488,04京地铁,,002540,亚太科技
120489,04南网⑴,,002541,鸿路钢构
120490,04南网⑵,,002542,中化岩土
120501,05申能债,,002543,万和电气
120502,05苏园建,,002544,杰赛科技
120503,05渝水务,,002545,东方铁塔
120505,05华电债,,002546,新联电子
120506,05大唐停,,002547,春兴精工
120508,05铁道债,,002548,金新农  
120509,05国网⑴,,002549,凯美特气
120510,05国网⑵,,002550,千红制药
120511,05沪建⑴,,002551,尚荣医疗
120512,05沪建⑵,,002552,宝鼎重工
120516,05中电投,,002553,南方轴承
120519,05华能债,,002554,惠博普  
120520,05杭城建,,002555,顺荣股份
120521,05国航债,,002556,辉隆股份
120522,05铁通停,,002557,洽洽食品
120523,05闽高速,,002558,世纪游轮
120525,05中核⑴,,002559,亚威股份
120527,05武城投,,002560,通达股份
120529,05宁煤债,,002561,徐家汇  
120601,06大唐停,,002562,兄弟科技
120602,06冀建投,,002563,森马服饰
120603,06航天债,,002564,张化机  
120604,06国网⑴,,002565,上海绿新
120605,06三峡债,,002566,益盛药业
120607,水务暂停,,002567,唐人神  
120608,06鲁高速,,002568,百润股份
120609,06赣投债,,002569,步森股份
120610,06合城投,,002570,贝因美  
120701,07世博⑴,,002571,德力股份
120702,07世博⑵,,002572,索菲亚  
122000,07长电债,,002573,国电清新
122001,07海工债,,002574,明牌珠宝
122003,07华能G2,,002575,群兴玩具
122004,07华能G3,,002576,通达动力
122006,08金地债,,002577,雷柏科技
122007,08莱钢债,,002578,闽发铝业
122008,08华能G1,,002579,中京电子
122009,08新湖债,,002580,圣阳股份
122014,09豫园债,,002581,万昌科技
122015,09长电债,,002582,好想你  
122016,09中材债,,002583,海能达  
122017,09大唐债,,002584,西陇化工
122018,09中交G1,,002585,双星新材
122019,09中交G2,,002586,围海股份
122020,09复地债,,002587,奥拓电子
122021,09广汇债,,002588,史丹利  
122022,09城控债,,002589,瑞康医药
122023,09万业债,,002590,万安科技
122024,09国阳债,,002591,恒大高新
122025,09首置债,,002592,八菱科技
122026,09福田债,,002593,日上集团
122027,09京城建,,002594,比亚迪  
122028,09华发债,,002595,豪迈科技
122029,09万通债,,002596,海南瑞泽
122030,09京综超,,002597,金禾实业
122032,09隧道债,,002598,山东章鼓
122033,09富力债,,002599,盛通股份
122034,09中企债,,002600,江粉磁材
122035,09苏高新,,002601,佰利联  
122036,09沪张江,,002602,世纪华通
122037,09三友债,,002603,以岭药业
122038,09宁高科,,002604,龙力生物
122039,09皖通债,,002605,姚记扑克
122040,09新黄浦,,002606,大连电瓷
122041,09招金债,,002607,亚夏汽车
122043,09紫江债,,002608,舜天船舶
122044,10连云债,,002609,捷顺科技
122045,10中铁G1,,002610,爱康科技
122046,10中铁G2,,002611,东方精工
122047,10首机01,,002612,朗姿股份
122048,10首机02,,002613,北玻股份
122049,10营口港,,002614,蒙发利  
122050,10杉杉债,,002615,哈尔斯  
122051,10石化01,,002616,长青集团
122052,10石化02,,002617,露笑科技
122053,10泰豪债,,002618,丹邦科技
122054,10中铁G3,,002619,巨龙管业
122055,10中铁G4,,002620,瑞和股份
122056,10龙源01,,002621,大连三垒
122057,10龙源02,,002622,永大集团
122058,10豫园债,,002623,亚玛顿  
122059,10重钢债,,002624,金磊股份
122060,10银鸽债,,002625,龙生股份
122061,11西矿01,,002626,金达威  
122062,11西矿02,,002627,宜昌交运
122063,11龙源01,,002628,成都路桥
122064,11龙源02,,002629,仁智油服
122065,11上港01,,002630,华西能源
122066,11大唐01,,002631,德尔家居
122067,11南钢债,,002632,道明光学
122068,11海螺01,,002633,申科股份
122069,11海螺02,,002634,棒杰股份
122070,11海航01,,002635,安洁科技
122071,11海航02,,002636,金安国纪
